datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_7d;internacoes_7d_l;internacoes_7v7
12/10/2020;Grande SP Norte;15,14;45,86;33,01;603465;7,6;33;48;-31,25
12/10/2020;Grande SP Oeste;79,57;273,43;29,1;1858252;14,71;148;166;-10,84
12/10/2020;Grande SP Sudeste;282,14;763,14;36,97;2690590;28,36;583;577;1,04
12/10/2020;Grande SP Sudoeste;18,43;69,71;26,44;1138499;6,12;105;87;20,69
12/10/2020;DRS 02 Araçatuba;60,86;120,14;50,66;764041;15,72;144;127;13,39
12/10/2020;DRS 03 Araraquara;46,86;123,57;37,92;991435;12,46;252;228;10,53
12/10/2020;DRS 04 Baixada Santista;106,57;410,71;25,95;1831884;22,42;196;192;2,08
12/10/2020;DRS 05 Barretos;56,43;91;62,01;425090;21,41;152;177;-14,12
12/10/2020;DRS 06 Bauru;151,86;228,43;66,48;1741281;13,12;327;345;-5,22
12/10/2020;DRS 07 Campinas;255,71;661,57;38,65;4562125;14,5;514;571;-9,98
12/10/2020;DRS 08 Franca;55,43;110;50,39;696336;15,8;114;133;-14,29
12/10/2020;DRS 09 Marília;63,57;160,14;39,7;1109670;14,43;191;173;10,4
12/10/2020;DRS 10 Piracicaba;78,29;241,71;32,39;1539600;15,7;163;186;-12,37
12/10/2020;DRS 11 Presidente Prudente;50,29;78,29;64,24;752260;10,41;175;165;6,06
12/10/2020;DRS 12 Registro;11,71;39;30,03;278754;13,99;32;42;-23,81
12/10/2020;DRS 13 Ribeirão Preto;151,43;308,14;49,14;1477530;20,86;404;392;3,06
12/10/2020;DRS 14 São João da Boa Vista;52,57;127;41,39;809836;15,68;137;122;12,3
12/10/2020;DRS 15 São José do Rio Preto;256,57;442,71;57,95;1570421;28,19;660;654;0,92
12/10/2020;DRS 16 Sorocaba;110,14;232,71;47,33;2461760;9,45;223;286;-22,03
12/10/2020;DRS 17 Taubaté;148,43;428,71;34,62;2489629;17,22;336;376;-10,64
12/10/2020;Estado de São Paulo;3647;8552,57;42,64;44639899;19,16;8054;8275;-2,67
13/10/2020;Município de São Paulo;1428,14;3229,14;44,23;11869660;27,2;2805;3045;-7,88
13/10/2020;Grande SP Leste;152,57;356;42,86;2977781;11,96;244;278;-12,23
13/10/2020;Grande SP Norte;14,71;44,29;33,21;603465;7,34;32;43;-25,58
13/10/2020;Grande SP Oeste;79,71;273,14;29,18;1858252;14,7;130;163;-20,25
13/10/2020;Grande SP Sudeste;279,57;761,86;36,7;2690590;28,32;559;591;-5,41
13/10/2020;Grande SP Sudoeste;18,14;68,14;26,62;1138499;5,99;100;85;17,65
13/10/2020;DRS 02 Araçatuba;62;120,14;51,61;764041;15,72;140;128;9,38
13/10/2020;DRS 03 Araraquara;46,43;123,57;37,57;991435;12,46;247;229;7,86
13/10/2020;DRS 04 Baixada Santista;106;410,71;25,81;1831884;22,42;207;188;10,11
13/10/2020;DRS 05 Barretos;55,86;91;61,38;425090;21,41;140;186;-24,73
13/10/2020;DRS 06 Bauru;151,29;229,14;66,03;1741281;13,16;316;364;-13,19
13/10/2020;DRS 07 Campinas;252,86;658,29;38,41;4562125;14,43;490;584;-16,1
13/10/2020;DRS 08 Franca;53,57;110;48,7;696336;15,8;120;127;-5,51
13/10/2020;DRS 09 Marília;63,14;160,86;39,25;1109670;14,5;185;175;5,71
13/10/2020;DRS 10 Piracicaba;76,29;240,86;31,67;1539600;15,64;150;193;-22,28
13/10/2020;DRS 11 Presidente Prudente;49,43;78,14;63,26;752260;10,39;163;162;0,62
13/10/2020;DRS 12 Registro;11,86;39;30,41;278754;13,99;30;43;-30,23
13/10/2020;DRS 13 Ribeirão Preto;145,57;306,57;47,48;1477530;20,75;381;409;-6,85
13/10/2020;DRS 14 São João da Boa Vista;50,57;127,43;39,68;809836;15,74;133;130;2,31
13/10/2020;DRS 15 São José do Rio Preto;251,57;442,57;56,84;1570421;28,18;637;654;-2,6
13/10/2020;DRS 16 Sorocaba;111,43;231,86;48,06;2461760;9,42;230;260;-11,54
13/10/2020;DRS 17 Taubaté;148,86;422,14;35,26;2489629;16,96;326;388;-15,98
13/10/2020;Estado de São Paulo;3609,57;8524,86;42,34;44639899;19,1;7765;8425;-7,83
14/10/2020;Município de São Paulo;1407,86;3215,71;43,78;11869660;27,09;2664;2981;-10,63
14/10/2020;Grande SP Leste;150,71;356,29;42,3;2977781;11,96;237;281;-15,66
14/10/2020;Grande SP Norte;14,43;43,29;33,33;603465;7,17;28;39;-28,21
14/10/2020;Grande SP Oeste;78,29;270,14;28,98;1858252;14,54;128;150;-14,67
14/10/2020;Grande SP Sudeste;280;762,57;36,72;2690590;28,34;534;584;-8,56
14/10/2020;Grande SP Sudoeste;18;67,57;26,64;1138499;5,94;111;78;42,31
14/10/2020;DRS 02 Araçatuba;62,86;120,14;52,32;764041;15,72;134;131;2,29
14/10/2020;DRS 03 Araraquara;44,29;123,57;35,84;991435;12,46;224;234;-4,27
14/10/2020;DRS 04 Baixada Santista;108,86;409;26,62;1831884;22,33;190;206;-7,77
14/10/2020;DRS 05 Barretos;55,57;91;61,07;425090;21,41;125;196;-36,22
14/10/2020;DRS 06 Bauru;148,14;229,29;64,61;1741281;13,17;291;371;-21,56
14/10/2020;DRS 07 Campinas;250,43;655;38,23;4562125;14,36;473;597;-20,77
14/10/2020;DRS 08 Franca;50,57;110;45,97;696336;15,8;127;120;5,83
14/10/2020;DRS 09 Marília;64,43;161;40,02;1109670;14,51;179;169;5,92
14/10/2020;DRS 10 Piracicaba;74,57;239,86;31,09;1539600;15,58;140;191;-26,7
14/10/2020;DRS 11 Presidente Prudente;48,14;78,43;61,38;752260;10,43;138;173;-20,23
14/10/2020;DRS 12 Registro;11,57;39;29,67;278754;13,99;27;41;-34,15
14/10/2020;DRS 13 Ribeirão Preto;143;304,71;46,93;1477530;20,62;362;416;-12,98
14/10/2020;DRS 14 São João da Boa Vista;47,86;127,29;37,6;809836;15,72;122;135;-9,63
14/10/2020;DRS 15 São José do Rio Preto;246,86;442,43;55,8;1570421;28,17;580;659;-11,99
14/10/2020;DRS 16 Sorocaba;112,86;230,86;48,89;2461760;9,38;234;262;-10,69
14/10/2020;DRS 17 Taubaté;147,57;415,86;35,49;2489629;16,7;315;369;-14,63
14/10/2020;Estado de São Paulo;3566,86;8493;42;44639899;19,03;7363;8383;-12,17
15/10/2020;Município de São Paulo;1400,43;3213;43,59;11869660;27,07;2632;2959;-11,05
15/10/2020;Grande SP Leste;149,14;356,14;41,88;2977781;11,96;240;269;-10,78
15/10/2020;Grande SP Norte;14;42,14;33,22;603465;6,98;18;44;-59,09
15/10/2020;Grande SP Oeste;77,29;269,14;28,72;1858252;14,48;124;156;-20,51
15/10/2020;Grande SP Sudeste;276,71;762,14;36,31;2690590;28,33;512;603;-15,09
15/10/2020;Grande SP Sudoeste;17,57;67;26,22;1138499;5,88;94;90;4,44
15/10/2020;DRS 02 Araçatuba;63,14;119,71;52,74;764041;15,67;141;126;11,9
15/10/2020;DRS 03 Araraquara;42,29;123,57;34,22;991435;12,46;217;248;-12,5
15/10/2020;DRS 04 Baixada Santista;110,29;408;27,03;1831884;22,27;189;205;-7,8
15/10/2020;DRS 05 Barretos;54;91;59,34;425090;21,41;113;192;-41,15
15/10/2020;DRS 06 Bauru;145,43;228,86;63,55;1741281;13,14;280;379;-26,12
15/10/2020;DRS 07 Campinas;243,71;644,86;37,79;4562125;14,14;440;597;-26,3
15/10/2020;DRS 08 Franca;48,71;110,14;44,23;696336;15,82;120;119;0,84
15/10/2020;DRS 09 Marília;65,29;160,43;40,7;1109670;14,46;167;184;-9,24
15/10/2020;DRS 10 Piracicaba;74,14;238,14;31,13;1539600;15,47;133;185;-28,11
15/10/2020;DRS 11 Presidente Prudente;46,29;79;58,59;752260;10,5;133;171;-22,22
15/10/2020;DRS 12 Registro;11,43;39;29,31;278754;13,99;25;35;-28,57
15/10/2020;DRS 13 Ribeirão Preto;143,43;303,43;47,27;1477530;20,54;359;428;-16,12
15/10/2020;DRS 14 São João da Boa Vista;46,86;127,29;36,81;809836;15,72;124;142;-12,68
15/10/2020;DRS 15 São José do Rio Preto;241,14;442,29;54,52;1570421;28,16;545;685;-20,44
15/10/2020;DRS 16 Sorocaba;112,86;230;49,07;2461760;9,34;229;260;-11,92
15/10/2020;DRS 17 Taubaté;146,14;407,14;35,89;2489629;16,35;313;368;-14,95
15/10/2020;Estado de São Paulo;3530,29;8462,43;41,72;44639899;18,96;7148;8445;-15,36
16/10/2020;Município de São Paulo;1377,43;3189,43;43,19;11869660;26,87;2605;2955;-11,84
16/10/2020;Grande SP Leste;149,86;354,71;42,25;2977781;11,91;230;281;-18,15
16/10/2020;Grande SP Norte;13,29;42,57;31,22;603465;7,05;16;42;-61,9
16/10/2020;Grande SP Oeste;75,57;266,71;28,33;1858252;14,35;121;158;-23,42
16/10/2020;Grande SP Sudeste;274,57;761,71;36,05;2690590;28,31;511;617;-17,18
16/10/2020;Grande SP Sudoeste;17,43;67;26,01;1138499;5,88;82;93;-11,83
16/10/2020;DRS 02 Araçatuba;62,71;118,57;52,89;764041;15,52;140;127;10,24
16/10/2020;DRS 03 Araraquara;40,57;123,43;32,87;991435;12,45;207;259;-20,08
16/10/2020;DRS 04 Baixada Santista;111,71;403,57;27,68;1831884;22,03;185;206;-10,19
16/10/2020;DRS 05 Barretos;53,57;91;58,87;425090;21,41;114;180;-36,67
16/10/2020;DRS 06 Bauru;141,14;228,29;61,82;1741281;13,11;266;377;-29,44
16/10/2020;DRS 07 Campinas;236,71;635,57;37,24;4562125;13,93;418;579;-27,81
16/10/2020;DRS 08 Franca;47,57;110,14;43,19;696336;15,82;117;117;0
16/10/2020;DRS 09 Marília;66,14;160,57;41,19;1109670;14,47;154;195;-21,03
16/10/2020;DRS 10 Piracicaba;72,43;236,71;30,6;1539600;15,37;127;192;-33,85
16/10/2020;DRS 11 Presidente Prudente;45,29;79,14;57,23;752260;10,52;128;176;-27,27
16/10/2020;DRS 12 Registro;10,43;39;26,74;278754;13,99;25;31;-19,35
16/10/2020;DRS 13 Ribeirão Preto;143,14;301,71;47,44;1477530;20,42;323;450;-28,22
16/10/2020;DRS 14 São João da Boa Vista;46,71;127,14;36,74;809836;15,7;124;149;-16,78
16/10/2020;DRS 15 São José do Rio Preto;233,86;440,86;53,05;1570421;28,07;496;703;-29,45
16/10/2020;DRS 16 Sorocaba;114,29;230,43;49,6;2461760;9,36;219;270;-18,89
16/10/2020;DRS 17 Taubaté;146,57;400;36,64;2489629;16,07;309;348;-11,21
16/10/2020;Estado de São Paulo;3481;8408,29;41,4;44639899;18,84;6917;8505;-18,67
17/10/2020;Município de São Paulo;1358;3141,57;43,23;11869660;26,47;2510;2970;-15,49
17/10/2020;Grande SP Leste;150,14;352,29;42,62;2977781;11,83;230;280;-17,86
17/10/2020;Grande SP Norte;13,29;41,71;31,86;603465;6,91;16;41;-60,98
17/10/2020;Grande SP Oeste;74,43;266,43;27,94;1858252;14,34;124;161;-22,98
17/10/2020;Grande SP Sudeste;271,86;762,29;35,66;2690590;28,33;537;610;-11,97
17/10/2020;Grande SP Sudoeste;18,43;67;27,51;1138499;5,88;77;102;-24,51
17/10/2020;DRS 02 Araçatuba;61,57;118;52,18;764041;15,44;130;146;-10,96
17/10/2020;DRS 03 Araraquara;39,14;123,29;31,75;991435;12,44;185;265;-30,19
17/10/2020;DRS 04 Baixada Santista;111,86;401,43;27,87;1831884;21,91;198;188;5,32
17/10/2020;DRS 05 Barretos;51,86;91;56,99;425090;21,41;110;177;-37,85
17/10/2020;DRS 06 Bauru;137,86;228,86;60,24;1741281;13,14;254;369;-31,17
17/10/2020;DRS 07 Campinas;231;623,29;37,06;4562125;13,66;388;562;-30,96
17/10/2020;DRS 08 Franca;47;109,43;42,95;696336;15,72;112;125;-10,4
17/10/2020;DRS 09 Marília;67,57;161,43;41,86;1109670;14,55;142;204;-30,39
17/10/2020;DRS 10 Piracicaba;72,14;236;30,57;1539600;15,33;121;188;-35,64
17/10/2020;DRS 11 Presidente Prudente;43,29;78,86;54,89;752260;10,48;118;178;-33,71
17/10/2020;DRS 12 Registro;10;39;25,64;278754;13,99;22;32;-31,25
17/10/2020;DRS 13 Ribeirão Preto;142,29;300,14;47,41;1477530;20,31;316;426;-25,82
17/10/2020;DRS 14 São João da Boa Vista;46,57;127,29;36,59;809836;15,72;113;153;-26,14
17/10/2020;DRS 15 São José do Rio Preto;226,29;439,43;51,5;1570421;27,98;484;695;-30,36
17/10/2020;DRS 16 Sorocaba;114,29;230,43;49,6;2461760;9,36;208;256;-18,75
17/10/2020;DRS 17 Taubaté;145,14;392,14;37,01;2489629;15,75;310;342;-9,36
17/10/2020;Estado de São Paulo;3434;8331,29;41,22;44639899;18,66;6705;8470;-20,84
18/10/2020;Município de São Paulo;1344,71;3100,57;43,37;11869660;26,12;2490;2940;-15,31
18/10/2020;Grande SP Leste;150,71;349;43,18;2977781;11,72;242;269;-10,04
18/10/2020;Grande SP Norte;13,29;42,14;31,54;603465;6,98;13;36;-63,89
18/10/2020;Grande SP Oeste;74,29;267;27,82;1858252;14,37;126;161;-21,74
18/10/2020;Grande SP Sudeste;272,43;763;35,71;2690590;28,36;550;605;-9,09
18/10/2020;Grande SP Sudoeste;18,86;67;28,15;1138499;5,88;73;99;-26,26
18/10/2020;DRS 02 Araçatuba;60,43;116,86;51,71;764041;15,29;119;145;-17,93
18/10/2020;DRS 03 Araraquara;36,57;122,71;29,8;991435;12,38;175;264;-33,71
18/10/2020;DRS 04 Baixada Santista;113,71;400,43;28,4;1831884;21,86;202;184;9,78
18/10/2020;DRS 05 Barretos;50,57;91;55,57;425090;21,41;103;162;-36,42
18/10/2020;DRS 06 Bauru;134,57;229,43;58,65;1741281;13,18;244;347;-29,68
18/10/2020;DRS 07 Campinas;228,29;612;37,3;4562125;13,41;386;522;-26,05
18/10/2020;DRS 08 Franca;45,57;109,43;41,64;696336;15,72;104;129;-19,38
18/10/2020;DRS 09 Marília;68,86;161,29;42,69;1109670;14,53;137;201;-31,84
18/10/2020;DRS 10 Piracicaba;72,14;235,57;30,62;1539600;15,3;123;176;-30,11
18/10/2020;DRS 11 Presidente Prudente;41;78,29;52,37;752260;10,41;108;172;-37,21
18/10/2020;DRS 12 Registro;9,14;39;23,44;278754;13,99;17;36;-52,78
18/10/2020;DRS 13 Ribeirão Preto;140;297,86;47;1477530;20,16;313;412;-24,03
18/10/2020;DRS 14 São João da Boa Vista;46,86;127,43;36,77;809836;15,74;112;144;-22,22
18/10/2020;DRS 15 São José do Rio Preto;222,57;437,86;50,83;1570421;27,88;468;689;-32,08
18/10/2020;DRS 16 Sorocaba;113,14;230,43;49,1;2461760;9,36;204;235;-13,19
18/10/2020;DRS 17 Taubaté;142;387,71;36,63;2489629;15,57;295;347;-14,99
18/10/2020;Estado de São Paulo;3399,71;8266;41,13;44639899;18,52;6604;8275;-20,19
19/10/2020;Município de São Paulo;1328,43;3063,14;43,37;11869660;25,81;2459;2917;-15,7
19/10/2020;Grande SP Leste;150,86;345,86;43,62;2977781;11,61;244;248;-1,61
19/10/2020;Grande SP Norte;12,57;41;30,66;603465;6,79;17;33;-48,48
19/10/2020;Grande SP Oeste;75,43;267,43;28,21;1858252;14,39;138;148;-6,76
19/10/2020;Grande SP Sudeste;271,71;763,86;35,57;2690590;28,39;576;583;-1,2
19/10/2020;Grande SP Sudoeste;18,86;67;28,15;1138499;5,88;64;105;-39,05
19/10/2020;DRS 02 Araçatuba;59,71;116,14;51,41;764041;15,2;119;144;-17,36
19/10/2020;DRS 03 Araraquara;35,57;122,43;29,05;991435;12,35;187;252;-25,79
19/10/2020;DRS 04 Baixada Santista;116,43;400;29,11;1831884;21,84;205;196;4,59
19/10/2020;DRS 05 Barretos;49,71;91;54,63;425090;21,41;103;152;-32,24
19/10/2020;DRS 06 Bauru;129,71;229,14;56,61;1741281;13,16;247;327;-24,46
19/10/2020;DRS 07 Campinas;224,14;602,14;37,22;4562125;13,2;358;514;-30,35
19/10/2020;DRS 08 Franca;44,14;109,57;40,28;696336;15,74;110;114;-3,51
19/10/2020;DRS 09 Marília;71,14;160,86;44,22;1109670;14,5;141;191;-26,18
19/10/2020;DRS 10 Piracicaba;70,86;234,86;30,17;1539600;15,25;126;163;-22,7
19/10/2020;DRS 11 Presidente Prudente;38,86;77,86;49,91;752260;10,35;95;175;-45,71
19/10/2020;DRS 12 Registro;7,71;39;19,77;278754;13,99;21;32;-34,37
19/10/2020;DRS 13 Ribeirão Preto;140,29;296,57;47,3;1477530;20,07;314;404;-22,28
19/10/2020;DRS 14 São João da Boa Vista;46,86;127;36,9;809836;15,68;113;137;-17,52
19/10/2020;DRS 15 São José do Rio Preto;218,43;437,14;49,97;1570421;27,84;456;660;-30,91
19/10/2020;DRS 16 Sorocaba;111,57;230,14;48,48;2461760;9,35;210;223;-5,83
19/10/2020;DRS 17 Taubaté;138,71;385,86;35,95;2489629;15,5;283;336;-15,77
19/10/2020;Estado de São Paulo;3361,71;8208;40,96;44639899;18,39;6586;8054;-18,23
20/10/2020;Município de São Paulo;1293,14;3018,43;42,84;11869660;25,43;2426;2805;-13,51
20/10/2020;Grande SP Leste;151,57;341,71;44,36;2977781;11,48;253;244;3,69
20/10/2020;Grande SP Norte;12,14;41,71;29,11;603465;6,91;17;32;-46,88
20/10/2020;Grande SP Oeste;76,43;267,86;28,53;1858252;14,41;145;130;11,54
20/10/2020;Grande SP Sudeste;270;764,43;35,32;2690590;28,41;585;559;4,65
20/10/2020;Grande SP Sudoeste;18,71;67;27,93;1138499;5,88;72;100;-28
20/10/2020;DRS 02 Araçatuba;59,14;115,86;51,04;764041;15,16;125;140;-10,71
20/10/2020;DRS 03 Araraquara;34,43;122,29;28,15;991435;12,33;175;247;-29,15
20/10/2020;DRS 04 Baixada Santista;119,71;399,29;29,98;1831884;21,8;194;207;-6,28
20/10/2020;DRS 05 Barretos;48,14;91;52,9;425090;21,41;97;140;-30,71
20/10/2020;DRS 06 Bauru;127;228,43;55,6;1741281;13,12;244;316;-22,78
20/10/2020;DRS 07 Campinas;216,71;591,14;36,66;4562125;12,96;363;490;-25,92
20/10/2020;DRS 08 Franca;43,29;109,71;39,46;696336;15,76;96;120;-20
20/10/2020;DRS 09 Marília;70,43;160,29;43,94;1109670;14,44;137;185;-25,95
20/10/2020;DRS 10 Piracicaba;68,14;232,57;29,3;1539600;15,11;126;150;-16
20/10/2020;DRS 11 Presidente Prudente;37,14;77,57;47,88;752260;10,31;103;163;-36,81
20/10/2020;DRS 12 Registro;7;39;17,95;278754;13,99;24;30;-20
20/10/2020;DRS 13 Ribeirão Preto;138,43;296,71;46,65;1477530;20,08;312;381;-18,11
20/10/2020;DRS 14 São João da Boa Vista;46,29;126,71;36,53;809836;15,65;108;133;-18,8
20/10/2020;DRS 15 São José do Rio Preto;216,86;433,57;50,02;1570421;27,61;464;637;-27,16
20/10/2020;DRS 16 Sorocaba;110;230,14;47,8;2461760;9,35;223;230;-3,04
20/10/2020;DRS 17 Taubaté;134,29;385,71;34,82;2489629;15,49;281;326;-13,8
20/10/2020;Estado de São Paulo;3299;8141,14;40,52;44639899;18,24;6570;7765;-15,39
21/10/2020;Município de São Paulo;1267;2974,57;42,59;11869660;25,06;2502;2664;-6,08
21/10/2020;Grande SP Leste;149,57;339;44,12;2977781;11,38;254;237;7,17
21/10/2020;Grande SP Norte;12,14;42,14;28,81;603465;6,98;26;28;-7,14
21/10/2020;Grande SP Oeste;76,86;268,57;28,62;1858252;14,45;151;128;17,97
21/10/2020;Grande SP Sudeste;268,43;763,43;35,16;2690590;28,37;618;534;15,73
21/10/2020;Grande SP Sudoeste;18,57;67;27,72;1138499;5,88;66;111;-40,54
21/10/2020;DRS 02 Araçatuba;57,86;116,29;49,75;764041;15,22;120;134;-10,45
21/10/2020;DRS 03 Araraquara;34,57;122,14;28,3;991435;12,32;186;224;-16,96
21/10/2020;DRS 04 Baixada Santista;121,43;397,29;30,56;1831884;21,69;210;190;10,53
21/10/2020;DRS 05 Barretos;47,14;92,14;51,16;425090;21,68;101;125;-19,2
21/10/2020;DRS 06 Bauru;125,14;228,43;54,78;1741281;13,12;257;291;-11,68
21/10/2020;DRS 07 Campinas;209;580;36,03;4562125;12,71;354;473;-25,16
21/10/2020;DRS 08 Franca;42,71;109,86;38,88;696336;15,78;92;127;-27,56
21/10/2020;DRS 09 Marília;68,29;160,29;42,6;1109670;14,44;143;179;-20,11
21/10/2020;DRS 10 Piracicaba;65;232,14;28;1539600;15,08;126;140;-10
21/10/2020;DRS 11 Presidente Prudente;35,14;77;45,64;752260;10,24;105;138;-23,91
21/10/2020;DRS 12 Registro;7;39;17,95;278754;13,99;26;27;-3,7
21/10/2020;DRS 13 Ribeirão Preto;135,57;297,14;45,62;1477530;20,11;301;362;-16,85
21/10/2020;DRS 14 São João da Boa Vista;46,14;127;36,33;809836;15,68;113;122;-7,38
21/10/2020;DRS 15 São José do Rio Preto;216,43;428,86;50,47;1570421;27,31;477;580;-17,76
21/10/2020;DRS 16 Sorocaba;107,14;230,14;46,55;2461760;9,35;211;234;-9,83
21/10/2020;DRS 17 Taubaté;131,14;386,57;33,92;2489629;15,53;278;315;-11,75
21/10/2020;Estado de São Paulo;3242,29;8079;40,13;44639899;18,1;6717;7363;-8,77
22/10/2020;Município de São Paulo;1237,14;2914,71;42,44;11869660;24,56;2472;2632;-6,08
22/10/2020;Grande SP Leste;148,43;336,43;44,12;2977781;11,3;250;240;4,17
22/10/2020;Grande SP Norte;12;42,57;28,19;603465;7,05;28;18;55,56
22/10/2020;Grande SP Oeste;77,57;268,71;28,87;1858252;14,46;151;124;21,77
22/10/2020;Grande SP Sudeste;269,71;760,71;35,46;2690590;28,27;660;512;28,91
22/10/2020;Grande SP Sudoeste;18,43;67;27,51;1138499;5,88;74;94;-21,28
22/10/2020;DRS 02 Araçatuba;56,71;116,14;48,83;764041;15,2;109;141;-22,7
22/10/2020;DRS 03 Araraquara;34,57;122;28,34;991435;12,31;177;217;-18,43
22/10/2020;DRS 04 Baixada Santista;122,71;395;31,07;1831884;21,56;225;189;19,05
22/10/2020;DRS 05 Barretos;46,86;92,14;50,86;425090;21,68;100;113;-11,5
22/10/2020;DRS 06 Bauru;122,71;228,14;53,79;1741281;13,1;247;280;-11,79
22/10/2020;DRS 07 Campinas;204;574,57;35,5;4562125;12,59;367;440;-16,59
22/10/2020;DRS 08 Franca;43,14;109,71;39,32;696336;15,76;94;120;-21,67
22/10/2020;DRS 09 Marília;67,29;161;41,8;1109670;14,51;148;167;-11,38
22/10/2020;DRS 10 Piracicaba;62,71;230,71;27,18;1539600;14,99;126;133;-5,26
22/10/2020;DRS 11 Presidente Prudente;33,86;76,29;44,38;752260;10,14;99;133;-25,56
22/10/2020;DRS 12 Registro;7,14;39;18,31;278754;13,99;29;25;16
22/10/2020;DRS 13 Ribeirão Preto;130,14;295,86;43,99;1477530;20,02;278;359;-22,56
22/10/2020;DRS 14 São João da Boa Vista;45,86;127,43;35,99;809836;15,74;102;124;-17,74
22/10/2020;DRS 15 São José do Rio Preto;216,43;423,86;51,06;1570421;26,99;449;545;-17,61
22/10/2020;DRS 16 Sorocaba;105,86;231,14;45,8;2461760;9,39;212;229;-7,42
22/10/2020;DRS 17 Taubaté;128,14;388,14;33,01;2489629;15,59;268;313;-14,38
22/10/2020;Estado de São Paulo;3191,43;8001,29;39,89;44639899;17,92;6665;7148;-6,76
23/10/2020;Município de São Paulo;1221,29;2872,57;42,52;11869660;24,2;2399;2605;-7,91
23/10/2020;Grande SP Leste;147,57;333,43;44,26;2977781;11,2;254;230;10,43
23/10/2020;Grande SP Norte;11,71;42,14;27,79;603465;6,98;27;16;68,75
23/10/2020;Grande SP Oeste;79;270,71;29,18;1858252;14,57;145;121;19,83
23/10/2020;Grande SP Sudeste;269,71;758,86;35,54;2690590;28,2;683;511;33,66
23/10/2020;Grande SP Sudoeste;18,43;67;27,51;1138499;5,88;78;82;-4,88
23/10/2020;DRS 02 Araçatuba;55,86;116,29;48,04;764041;15,22;109;140;-22,14
23/10/2020;DRS 03 Araraquara;34,14;122;27,98;991435;12,31;183;207;-11,59
23/10/2020;DRS 04 Baixada Santista;125,43;393,43;31,88;1831884;21,48;231;185;24,86
23/10/2020;DRS 05 Barretos;44,71;92,14;48,52;425090;21,68;91;114;-20,18
23/10/2020;DRS 06 Bauru;121,71;228,14;53,35;1741281;13,1;242;266;-9,02
23/10/2020;DRS 07 Campinas;200,57;567,86;35,32;4562125;12,45;376;418;-10,05
23/10/2020;DRS 08 Franca;43;109,71;39,19;696336;15,76;88;117;-24,79
23/10/2020;DRS 09 Marília;66,43;161;41,26;1109670;14,51;147;154;-4,55
23/10/2020;DRS 10 Piracicaba;60,86;229;26,58;1539600;14,87;115;127;-9,45
23/10/2020;DRS 11 Presidente Prudente;32;75,71;42,27;752260;10,06;88;128;-31,25
23/10/2020;DRS 12 Registro;7,86;39;20,15;278754;13,99;30;25;20
23/10/2020;DRS 13 Ribeirão Preto;124,86;293,57;42,53;1477530;19,87;272;323;-15,79
23/10/2020;DRS 14 São João da Boa Vista;43,86;127,86;34,3;809836;15,79;99;124;-20,16
23/10/2020;DRS 15 São José do Rio Preto;215,43;420,43;51,24;1570421;26,77;442;496;-10,89
23/10/2020;DRS 16 Sorocaba;103,86;230,71;45,02;2461760;9,37;206;219;-5,94
23/10/2020;DRS 17 Taubaté;125,71;387,71;32,42;2489629;15,57;270;309;-12,62
23/10/2020;Estado de São Paulo;3154;7939,29;39,73;44639899;17,79;6575;6917;-4,94
24/10/2020;Município de São Paulo;1206,14;2863,14;42,13;11869660;24,12;2438;2510;-2,87
24/10/2020;Grande SP Leste;144,71;332;43,59;2977781;11,15;261;230;13,48
24/10/2020;Grande SP Norte;11,71;43,29;27,05;603465;7,17;28;16;75
24/10/2020;Grande SP Oeste;78,29;271;28,89;1858252;14,58;140;124;12,9
24/10/2020;Grande SP Sudeste;272,86;756;36,09;2690590;28,1;667;537;24,21
24/10/2020;Grande SP Sudoeste;17,71;67;26,43;1138499;5,88;79;77;2,6
24/10/2020;DRS 02 Araçatuba;54,86;116,57;47,06;764041;15,26;105;130;-19,23
24/10/2020;DRS 03 Araraquara;33,86;122;27,75;991435;12,31;182;185;-1,62
24/10/2020;DRS 04 Baixada Santista;129,14;392,14;32,93;1831884;21,41;235;198;18,69
24/10/2020;DRS 05 Barretos;43,43;91,43;47,5;425090;21,51;90;110;-18,18
24/10/2020;DRS 06 Bauru;121,86;227,71;53,52;1741281;13,08;235;254;-7,48
24/10/2020;DRS 07 Campinas;196,86;564;34,9;4562125;12,36;389;388;0,26
24/10/2020;DRS 08 Franca;43,14;109,71;39,32;696336;15,76;88;112;-21,43
24/10/2020;DRS 09 Marília;64,14;161,14;39,8;1109670;14,52;147;142;3,52
24/10/2020;DRS 10 Piracicaba;58;227,71;25,47;1539600;14,79;105;121;-13,22
24/10/2020;DRS 11 Presidente Prudente;31,29;75,57;41,41;752260;10,05;95;118;-19,49
24/10/2020;DRS 12 Registro;8,57;39;21,97;278754;13,99;35;22;59,09
24/10/2020;DRS 13 Ribeirão Preto;119,43;290,57;41,1;1477530;19,67;259;316;-18,04
24/10/2020;DRS 14 São João da Boa Vista;42,57;127,43;33,41;809836;15,74;98;113;-13,27
24/10/2020;DRS 15 São José do Rio Preto;215,57;416,43;51,77;1570421;26,52;429;484;-11,36
24/10/2020;DRS 16 Sorocaba;102;230,29;44,29;2461760;9,35;212;208;1,92
24/10/2020;DRS 17 Taubaté;124,14;387,43;32,04;2489629;15,56;263;310;-15,16
